,lat,lng,floor,floor_total,contractArea,realArea,deposit,gu_dobong,gu_dongdaemun,gu_dongjak,gu_eunpyeong,gu_gangbuk,gu_gangdong,gu_gangnam,gu_gangseo,gu_guemcheon,gu_guro,gu_gwanak,gu_gwangjin,gu_jongno,gu_jung,gu_jungnang,gu_mapo,gu_nowon,gu_seocho,gu_seodaemun,gu_seongbuk,gu_seongdong,gu_songpa,gu_yangcheon,gu_yeongdeungpo,gu_yongsan,direction_남동향,direction_남서향,direction_남향,direction_동향,direction_북동향,direction_북서향,direction_북향,direction_서향,distance,floor_rate,area_rate
23,37.682602,127.042938,3,3,20,14,500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17559.88658916225,1.0,0.7
24,37.644791,127.040467,0,3,18,17,500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17556.41054501177,0.0,0.9444444444444444
25,37.634851,127.038836,3,4,24,24,14500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17555.247862027096,0.75,1.0
26,37.666965,127.03154,2,3,16,16,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17555.812407082827,0.6666666666666666,1.0
27,37.688621,127.041843,3,4,23,19,500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17560.06202571829,0.75,0.8260869565217391
28,37.649827,127.018736,2,5,22,22,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17551.268768167625,0.4,1.0
29,37.654421,127.044714,2,4,17,17,2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17558.214776187036,0.5,1.0
30,37.648608,127.037314,2,4,16,16,500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17555.896832672257,0.5,1.0
31,37.675083,127.048008,7,8,183,16,500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17560.608215824952,0.875,0.08743169398907104
32,37.666585,127.035169,3,5,38,38,500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17556.705788420786,0.6,1.0
33,37.665313,127.041085,2,3,20,20,500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17558.113081365194,0.6666666666666666,1.0
