,monthlyPay
2988,54
2989,45
2990,30
2991,50
2992,35
2993,50
2994,50
2995,45
2996,47
2997,25
2998,45
2999,55
3000,50
3001,40
3002,41
3003,45
3004,45
3005,52
3006,60
3007,47
3008,40
3009,40
3010,30
3011,60
3012,70
3013,50
3014,45
3015,30
3016,28
3017,48
3018,15
3019,45
3020,45
3021,40
3022,35
3023,40
3024,50
3025,50
3026,45
3027,40
3028,55
3029,55
3030,40
3031,35
3032,35
3033,15
3034,35
3035,32
3036,50
3037,40
3038,50
3039,25
3040,30
3041,15
3042,20
3043,50
3044,50
3045,50
3046,87
3047,50
3048,65
3049,35
3050,35
3051,40
3052,50
3053,50
3054,53
3055,10
3056,30
3057,45
3058,40
3059,87
3060,28
3061,43
3062,55
3063,40
3064,35
3065,45
3066,35
3067,42
3068,40
3069,45
3070,45
3071,40
3072,35
3073,35
3074,87
3075,45
3076,50
3077,50
3078,25
3079,40
3080,52
3081,70
3082,35
3083,43
3084,65
3085,35
3086,30
3087,38
3088,44
3089,20
3090,33
3091,60
3092,20
3093,50
3094,45
3095,40
3096,45
3097,43
3098,33
3099,35
3100,50
3101,80
3102,35
3103,80
3104,30
3105,30
3106,80
3107,33
3108,80
3109,50
3110,45
3111,50
3112,45
3113,40
3114,40
3115,43
3116,40
3117,43
3118,42
3119,35
3120,45
3121,42
3122,28
3123,34
3124,20
3125,35
3126,45
3127,30
3128,30
3129,25
3130,49
3131,45
3132,50
3133,23
3134,40
3135,40
3136,20
3137,45
3138,25
3139,50
3140,35
3141,50
3142,25
3143,20
3144,20
3145,40
3146,49
3147,50
3148,40
3149,40
3150,40
3151,50
3152,40
3153,21
3154,10
3155,45
3156,95
3157,30
3158,47
3159,25
3160,45
3161,70
3162,65
3163,50
3164,50
3165,80
3166,30
3167,60
3168,25
3169,34
3170,40
3171,30
3172,40
3173,35
3174,15
3175,10
3176,30
3177,40
3178,38
3179,37
3180,25
3181,42
3182,45
3183,12
3184,20
3185,70
3186,50
3187,20
3188,20
3189,45
3190,42
3191,15
3192,25
3193,95
3194,10
3195,40
3196,29
3197,5
3198,40
3199,29
3200,20
3201,34
3202,44
3203,25
3204,25
3205,10
3206,40
3207,95
3208,20
3209,80
3210,40
3211,50
3212,55
3213,50
3214,27
3215,20
3216,65
3217,45
3218,45
3219,30
3220,70
3221,25
3222,38
3223,45
3224,17
3225,30
3226,70
3227,35
3228,35
3229,25
3230,30
3231,25
3232,40
3233,30
3234,37
3235,26
3236,50
3237,40
3238,65
3239,40
3240,45
3241,40
3242,50
3243,25
3244,40
3245,43
3246,35
3247,40
3248,70
3249,45
3250,34
3251,50
3252,40
3253,70
3254,28
3255,30
3256,30
3257,23
3258,37
3259,43
3260,33
3261,30
3262,48
3263,40
3264,34
3265,47
3266,45
3267,45
3268,65
3269,60
3270,55
3271,30
3272,70
3273,65
3274,30
3275,32
3276,45
3277,32
3278,33
3279,29
3280,29
3281,65
3282,40
3283,30
3284,43
3285,30
3286,50
3287,42
3288,31
3289,45
3290,45
3291,29
3292,35
3293,43
3294,30
3295,35
3296,25
3297,25
3298,45
3299,35
3300,30
3301,42
3302,42
3303,50
3304,35
3305,22
3306,48
3307,47
3308,65
3309,35
3310,70
3311,49
3312,45
3313,45
3314,55
3315,45
3316,30
3317,29
3318,39
3319,45
3320,50
3321,40
3322,40
3323,29
3324,33
3325,30
3326,28
3327,40
3328,42
3329,37
3330,29
3331,30
3332,37
3333,35
3334,40
3335,45
3336,45
3337,47
3338,40
3339,50
3340,35
3341,45
3342,42
3343,50
3344,50
3345,53
3346,40
3347,85
3348,40
3349,40
3350,30
3351,55
3352,35
3353,60
3354,50
3355,50
3356,45
3357,30
3358,50
3359,27
3360,30
3361,35
3362,45
3363,35
3364,48
3365,40
3366,37
3367,43
3368,55
3369,53
3370,40
3371,35
3372,39
3373,45
3374,48
3375,60
3376,45
3377,30
3378,75
3379,85
3380,40
3381,29
3382,29
3383,35
3384,40
3385,49
3386,45
3387,45
3388,50
3389,30
3390,30
3391,47
3392,32
3393,40
3394,35
3395,45
3396,95
3397,35
3398,25
3399,49
3400,35
3401,46
3402,40
3403,39
3404,50
3405,50
3406,30
3407,35
3408,40
3409,55
3410,40
3411,38
3412,35
3413,52
3414,37
3415,40
3416,32
3417,40
3418,35
3419,25
3420,35
3421,30
3422,45
3423,30
3424,35
3425,30
3426,28
3427,50
3428,33
3429,5
3430,30
3431,30
3432,30
3433,41
3434,29
3435,35
3436,15
3437,40
3438,35
3439,35
3440,30
3441,26
3442,29
3443,30
3444,30
3445,40
3446,30
3447,40
3448,30
3449,75
3450,35
3451,30
3452,36
3453,55
3454,40
3455,40
3456,20
3457,50
3458,50
3459,25
3460,28
3461,35
3462,36
3463,50
3464,30
3465,50
3466,32
3467,20
3468,20
3469,45
3470,40
3471,20
3472,35
3473,40
3474,23
3475,30
3476,60
3477,45
3478,35
3479,60
3480,35
3481,30
3482,35
3483,45
3484,75
3485,50
3486,40
3487,30
3488,13
3489,65
3490,55
3491,30
3492,25
3493,40
3494,30
3495,33
3496,32
3497,38
3498,28
3499,50
3500,36
3501,30
3502,35
3503,40
3504,42
3505,35
3506,24
3507,30
3508,15
3509,40
3510,45
3511,20
3512,40
3513,23
3514,30
3515,25
3516,31
3517,30
3518,50
3519,25
3520,50
3521,40
3522,35
3523,25
3524,30
3525,50
3526,30
3527,32
3528,30
3529,50
3530,40
3531,40
3532,40
3533,30
3534,45
3535,30
3536,35
3537,34
3538,20
3539,30
3540,44
3541,47
3542,60
3543,45
3544,30
3545,25
3546,20
3547,55
3548,30
3549,40
3550,34
3551,34
3552,40
3553,40
3554,45
3555,40
3556,33
3557,28
3558,30
3559,25
3560,40
3561,38
3562,36
3563,40
3564,40
3565,48
3566,40
3567,33
3568,25
3569,20
3570,27
3571,30
3572,20
3573,50
3574,25
3575,38
3576,25
3577,28
3578,40
3579,37
3580,60
3581,65
3582,42
3583,33
3584,43
3585,30
3586,30
3587,25
3588,37
3589,40
3590,43
3591,30
3592,20
3593,32
3594,35
3595,35
3596,35
3597,60
3598,40
3599,25
3600,50
3601,30
3602,35
3603,35
3604,59
3605,5
3606,38
3607,35
3608,33
3609,45
3610,20
3611,30
3612,45
3613,90
3614,50
3615,25
3616,60
3617,35
3618,53
3619,40
3620,55
3621,35
3622,35
3623,38
3624,20
3625,42
3626,15
3627,35
3628,35
3629,30
3630,45
3631,10
3632,25
3633,50
3634,50
3635,15
3636,45
3637,40
3638,35
3639,10
3640,90
3641,15
3642,45
3643,30
3644,55
3645,70
3646,30
3647,35
3648,10
3649,35
3650,65
3651,43
3652,65
3653,50
3654,25
3655,50
3656,40
3657,40
3658,35
3659,60
3660,40
3661,45
3662,50
3663,82
3664,40
3665,60
3666,75
3667,40
3668,40
3669,40
3670,105
3671,35
3672,50
3673,45
3674,43
3675,41
3676,32
3677,30
3678,60
3679,45
3680,20
3681,35
3682,40
3683,20
3684,39
3685,35
3686,38
3687,36
3688,50
3689,45
3690,30
3691,44
3692,50
3693,40
3694,37
3695,45
3696,5
3697,45
3698,41
3699,50
3700,30
3701,80
3702,35
3703,28
3704,50
3705,37
3706,30
3707,55
3708,25
3709,30
3710,25
3711,50
3712,35
3713,40
3714,30
3715,35
3716,50
3717,50
3718,50
3719,27
3720,25
3721,38
3722,45
3723,38
3724,50
3725,40
3726,20
3727,15
3728,35
3729,60
3730,50
3731,65
3732,35
3733,65
3734,45
3735,30
3736,50
3737,50
3738,29
3739,30
3740,38
3741,58
3742,63
3743,45
3744,40
3745,45
3746,45
3747,50
3748,45
3749,15
3750,40
3751,45
3752,32
3753,40
3754,30
3755,20
3756,45
3757,50
3758,43
3759,10
3760,25
3761,66
3762,50
3763,65
3764,15
3765,25
3766,40
3767,55
3768,40
3769,60
3770,45
3771,50
3772,60
3773,60
3774,45
3775,45
3776,70
3777,15
3778,35
3779,60
3780,50
3781,45
3782,45
3783,55
3784,65
3785,40
3786,60
3787,40
3788,50
3789,55
3790,40
3791,55
3792,115
3793,20
3794,60
3795,120
3796,60
3797,30
3798,20
3799,38
3800,31
3801,40
3802,70
3803,70
3804,35
3805,70
3806,60
3807,45
3808,48
3809,40
3810,50
3811,60
3812,70
3813,30
3814,40
3815,50
3816,80
3817,35
3818,42
3819,50
3820,40
3821,50
3822,45
3823,35
3824,50
3825,90
3826,43
3827,45
3828,80
3829,50
3830,65
3831,40
3832,60
3833,30
3834,25
3835,39
3836,30
3837,72
3838,80
3839,150
3840,30
3841,70
3842,10
3843,100
3844,130
3845,40
3846,60
3847,35
3848,10
3849,30
3850,35
3851,25
3852,25
3853,40
3854,40
3855,80
3856,40
3857,40
3858,30
3859,80
3860,35
3861,39
3862,65
3863,50
3864,5
3865,60
3866,60
3867,65
3868,60
3869,50
3870,28
3871,70
3872,30
3873,30
3874,35
3875,57
3876,30
3877,45
3878,60
3879,32
3880,55
3881,33
3882,60
3883,50
3884,10
3885,35
3886,30
3887,40
3888,30
3889,45
3890,35
3891,50
3892,35
3893,35
3894,70
3895,108
3896,35
3897,25
3898,36
3899,103
3900,45
3901,105
3902,15
3903,170
3904,55
3905,10
3906,150
3907,30
3908,27
3909,92
3910,40
3911,35
3912,40
3913,30
3914,30
3915,45
3916,35
3917,27
3918,35
3919,50
3920,35
3921,40
3922,65
3923,40
3924,10
3925,40
3926,29
3927,65
3928,30
3929,35
3930,40
3931,40
3932,55
3933,25
3934,45
3935,40
3936,45
3937,45
3938,40
3939,79
3940,45
3941,35
3942,50
3943,47
3944,60
3945,85
3946,50
3947,120
3948,30
3949,15
3950,50
3951,55
3952,35
3953,60
3954,45
3955,35
3956,65
3957,60
3958,58
3959,55
3960,5
3961,30
3962,60
3963,50
3964,45
3965,10
3966,60
3967,75
3968,80
3969,63
3970,63
3971,85
3972,55
3973,55
3974,23
3975,29
3976,40
3977,27
3978,30
3979,40
3980,40
3981,60
3982,50
3983,35
3984,52
3985,36
3986,40
3987,47
3988,50
3989,35
3990,40
3991,40
3992,37
3993,38
3994,35
3995,35
3996,37
3997,43
3998,55
3999,45
4000,30
4001,45
4002,25
4003,25
4004,30
4005,30
4006,45
4007,10
4008,40
4009,30
4010,30
4011,33
4012,34
4013,29
4014,30
4015,30
4016,45
4017,28
4018,25
4019,40
4020,37
4021,30
4022,25
4023,65
4024,32
4025,30
4026,50
4027,50
4028,15
4029,30
4030,40
4031,45
4032,55
4033,45
4034,45
4035,45
4036,45
4037,30
4038,53
4039,35
4040,90
4041,130
4042,15
4043,35
4044,50
4045,10
4046,50
4047,60
4048,20
4049,50
4050,30
4051,35
4052,70
4053,50
4054,15
4055,15
4056,35
4057,45
4058,65
4059,35
4060,53
4061,40
4062,50
4063,35
4064,42
4065,130
4066,40
4067,31
4068,60
4069,60
4070,55
4071,50
4072,40
4073,50
4074,60
4075,40
4076,30
4077,50
4078,60
4079,80
4080,88
4081,55
4082,130
4083,50
4084,200
4085,40
4086,130
4087,45
4088,30
4089,5
4090,30
4091,110
4092,60
4093,75
4094,70
4095,110
4096,95
4097,60
4098,75
4099,84
4100,80
4101,45
4102,95
